Cod Refer,ECF
12295,1.02.05.04
12296,1.02.05.04
123111,1.02.06.01
123112,1.02.06.01
123119,1.02.06.01
123121,1.02.06.01
123122,1.02.06.01
123129,1.02.06.01
123191,1.02.06.01
123192,1.02.06.01
123211,1.02.06.04
123212,1.02.06.04
12322,1.02.06.04
12323,1.02.06.04
12328,1.02.06.04
123291,1.02.06.07
123292,1.02.06.07
12331,1.02.06.07
12339,1.02.06.07
12341,1.02.06.02
12349,1.02.06.07
12351,1.02.06.03
12352,1.02.06.03
12358,1.02.06.03
12383,1.02.06.03
12388,1.02.06.03
123891,1.02.06.07
123892,1.02.06.07
12431,1.02.07.02
12438,1.02.07.05
12439,1.02.07.06
12481,1.02.07.03
12482,1.02.07.04
12487,1.02.07.04
12488,1.02.07.05
12489,1.02.07.06
1251,1.02.08.01
1252,1.02.08.01
1253,1.02.08.02
19111,
19112,
19113,
19118,
19121,
19131,
19141,
19151,
19152,
19161,
19171,
19181,
21111,2.01.01.01
21112,2.01.01.01
21113,2.01.01.01
21114,2.01.01.01
21115,2.01.01.01
21116,2.01.01.01
211171,2.01.01.01
211172,2.01.01.01
211181,2.01.01.01
211182,2.01.01.01
211183,2.01.01.01
211188,2.01.01.01
211191,2.01.01.01
211192,2.01.01.01
211194,2.01.01.01
211198,2.01.01.01
21121,2.01.01.02
21122,2.01.01.02
21123,2.01.01.02
21124,2.01.01.02
21125,2.01.01.02
21126,2.01.01.02
21128,2.01.01.02
21131,2.01.01.03
21132,2.01.01.03
21133,2.01.01.03
21138,2.01.01.03
21141,2.01.01.04
21142,2.01.01.04
21148,2.01.01.04
21151,2.01.01.04
21159,2.01.01.04
211611,2.01.01.05
211612,2.01.01.05
211621,2.01.01.05
211622,2.01.01.05
21163,2.01.01.05
21164,2.01.01.05
21165,2.01.01.05
21168,2.01.01.05
21169,2.01.01.05
21171,2.01.01.05
21181,2.01.01.05
21191,2.01.01.06
212111,2.01.02.01
212112,2.01.02.01
212121,2.01.02.01
212122,2.01.02.01
212123,2.01.02.01
212211,2.01.02.02
212214,2.01.02.02
212215,2.01.02.02
212218,2.01.02.02
212221,2.01.02.02
212223,2.01.02.02
212231,2.01.02.02
212234,2.01.02.02
212235,2.01.02.02
212238,2.01.02.02
2122411,2.01.02.02
2122414,2.01.02.02
2122418,2.01.02.02
2122421,2.01.02.02
2122424,2.01.02.02
2122428,2.01.02.02
2122431,2.01.02.02
2122434,2.01.02.02
2122438,2.01.02.02
2122611,2.01.02.02
2122614,2.01.02.02
2122618,2.01.02.02
2122621,2.01.02.02
2122624,2.01.02.02
2122628,2.01.02.02
2122631,2.01.02.02
2122634,2.01.02.02
2122638,2.01.02.02
21227,2.01.02.02
21228,2.01.02.02
2123111,2.01.02.03
2123112,2.01.02.03
2123113,2.01.02.03
2123211,2.01.02.03
2123212,2.01.02.03
212324,2.01.02.03
212328,2.01.02.03
2123311,2.01.02.03
2123312,2.01.02.03
2123313,2.01.02.03
2123411,2.01.02.03
2123412,2.01.02.03
212344,2.01.02.03
212348,2.01.02.03
2123511,2.01.02.03
2123512,2.01.02.03
2123513,2.01.02.03
2123611,2.01.02.03
2123612,2.01.02.03
212364,2.01.02.03
212368,2.01.02.03
21237111,2.01.02.03
21237112,2.01.02.03
21237121,2.01.02.03
21237122,2.01.02.03
21237131,2.01.02.03
21237132,2.01.02.03
2123714,2.01.02.03
2123715,2.01.02.03
21237211,2.01.02.03
21237212,2.01.02.03
21237221,2.01.02.03
21237222,2.01.02.03
21237231,2.01.02.03
21237232,2.01.02.03
2123724,2.01.02.03
2123725,2.01.02.03
21237311,2.01.02.03
21237312,2.01.02.03
21237321,2.01.02.03
21237322,2.01.02.03
21237331,2.01.02.03
21237332,2.01.02.03
2123734,2.01.02.03
2123735,2.01.02.03
21241,2.01.02.04
21242,2.01.02.04
2125111,2.01.02.05
2125112,2.01.02.05
212512,2.01.02.05
212521,2.01.02.05
212522,2.01.02.05
212531,2.01.02.05
212532,2.01.02.05
212541,2.01.02.05
212542,2.01.02.05
212551,2.01.02.05
212552,2.01.02.05
212561,2.01.02.05
212562,2.01.02.05
212563,2.01.02.05
21281,2.01.02.06
21282,2.01.02.06
21283,2.01.02.06
21284,2.01.02.06
21285,2.01.02.06
21286,2.01.02.06
21287,2.01.02.06
21288,2.01.02.06
21311,2.01.02.07
21312,2.01.02.07
2132111,2.01.02.07
2132112,2.01.02.07
2132113,2.01.02.07
2132121,2.01.02.07
2132122,2.01.02.07
2132123,2.01.02.07
2132181,2.01.02.07
2132182,2.01.02.07
2132183,2.01.02.07
2132211,2.01.02.07
2132212,2.01.02.07
